"Id_Customer","Y","Customer_Type","BirthDate","Customer_Open_Date","P_Client","Educational_Level","Marital_Status","Number_Of_Dependant","Years_At_Residence","Net_Annual_Income","Years_At_Business","Prod_Sub_Category","Prod_Decision_Date","Source","Type_Of_Residence","Nb_Of_Products","Prod_Closed_Date","Prod_Category"
882,0,"Non Existing Client","21/03/1971","12/06/2011","NP_Client","University","Married",3,8,"18",2,"C","15/06/2011","Sales","Owned",1,"","D"
6225,0,"Non Existing Client","01/08/1949","08/12/2011","NP_Client","University","Married",0,15,"30",1,"C","29/12/2011","Sales","Owned",1,"","B"
2378,0,"Non Existing Client","30/05/1987","20/07/2011","NP_Client","University","Married",0,12,"31,848",1,"C","09/08/2011","Sales","Owned",1,"","K"
9350,0,"Non Existing Client","01/01/1985","27/03/2012","NP_Client","University","Single",0,27,"26,4",6,"C","11/04/2012","Branch","Owned",1,"02/06/2013","K"
4537,0,"Existing Client","29/11/1973","18/04/2007","P_Client","University","Married",3,10,"24,288",3,"C","29/10/2011","Sales","Owned",1,"","G"
1756,0,"Non Existing Client","13/02/1961","20/07/2011","NP_Client","University","Married",2,2,"36",1,"C","24/07/2011","Sales","Owned",1,"","B"
7670,0,"Non Existing Client","05/02/1948","22/02/2012","NP_Client","University","Married",0,1,"36",1,"C","23/02/2012","Sales","Owned",1,"","B"
1051,0,"Non Existing Client","21/08/1972","22/06/2011","NP_Client","University","Married",0,1,"20",1,"C","28/06/2011","Sales","Owned",1,"","D"
2234,0,"Non Existing Client","27/11/1989","24/07/2011","NP_Client","University","Single",0,4,"18",4,"C","28/07/2011","Sales","Owned",1,"","B"
620,0,"Existing Client","24/11/1965","10/01/2010","NP_Client","University","Married",2,10,"18",2,"C","29/06/2011","Sales","Owned",1,"","D"
8076,0,"Non Existing Client","26/12/1953","14/02/2012","NP_Client","University","Married",0,22,"18",2,"C","15/02/2012","Sales","Owned",1,"","B"
7748,0,"Existing Client","06/05/1965","15/11/1983","NP_Client","University","Married",3,18,"300",16,"P","22/02/2012","Branch","Owned",1,"","E"
1038,0,"Non Existing Client","11/07/1958","21/06/2011","NP_Client","University","Married",2,16,"20",1,"C","22/06/2011","Sales","Owned",1,"","B"
9435,0,"Non Existing Client","02/11/1976","19/04/2012","NP_Client","University","Married",3,1,"36",1,"C","22/04/2012","Sales","Owned",1,"","B"
375,0,"Non Existing Client","18/02/1983","15/05/2011","NP_Client","University","Married",0,5,"18",1,"C","18/05/2011","Sales","New rent",1,"","B"
5751,0,"Non Existing Client","20/03/1963","12/12/2011","NP_Client","University","Married",1,50,"36",50,"C","14/12/2011","Sales","Owned",1,"","B"
2479,0,"Existing Client","10/11/1983","16/08/2011","NP_Client","Master/PhD","Married",1,27,"120",2,"C","25/08/2011","Branch","Parents",1,"","C"
1245,0,"Existing Client","21/02/1970","26/03/2009","NP_Client","University","Married",3,5,"18",5,"C","26/07/2011","Sales","Owned",1,"","B"
2821,0,"Existing Client","10/10/1980","22/02/2009","NP_Client","University","Married",0,1,"36",1,"C","15/09/2011","Branch","Owned",1,"29/07/2012","B"
1473,0,"Non Existing Client","19/12/1967","10/07/2011","NP_Client","University","Married",0,10,"36",1,"C","11/07/2011","Sales","Owned",2,"","D"
5999,0,"Existing Client","15/02/1986","05/03/2008","NP_Client","University","Single",1,20,"24",20,"G","03/01/2012","Branch","Owned",1,"","B"
3253,0,"Non Existing Client","02/06/1948","14/09/2011","NP_Client","University","Married",3,38,"20",1,"C","15/09/2011","Sales","Old rent",2,"20/01/2013","D"
5773,0,"Non Existing Client","09/09/1986","14/12/2011","NP_Client","University","Single",0,6,"36",10,"C","15/12/2011","Sales","Owned",1,"","B"
7845,0,"Existing Client","29/05/1965","30/07/2007","NP_Client","University","Married",3,1,"36",1,"C","12/03/2012","Sales","Owned",1,"","B"
4438,0,"Non Existing Client","18/06/1967","25/10/2011","NP_Client","University","Married",0,10,"36",1,"C","27/10/2011","Sales","Owned",1,"","B"
5181,0,"Existing Client","01/03/1985","20/11/2008","P_Client","University","Married",1,3,"27,312",2,"C","05/12/2011","Branch","Owned",1,"","G"
3517,0,"Non Existing Client","05/02/1972","25/09/2011","NP_Client","University","Married",0,15,"100",1,"G","27/09/2011","Sales","Owned",1,"","C"
8979,0,"Existing Client","04/11/1956","20/07/2011","NP_Client","University","Married",3,10,"120",20,"G","08/04/2012","Branch","Owned",2,"14/03/2013","C"
3853,1,"Existing Client","22/06/1975","13/09/2011","NP_Client","University","Married",2,1,"42",1,"C","16/10/2011","Sales","Owned",1,"28/06/2012","L"
3545,0,"Existing Client","26/08/1948","09/01/2003","NP_Client","University","Married",0,15,"100",1,"G","26/09/2011","Sales","Owned",1,"","C"
8284,0,"Non Existing Client","15/06/1965","05/03/2012","NP_Client","University","Married",2,1,"36",1,"C","06/03/2012","Sales","Owned",1,"","B"
2370,0,"Non Existing Client","23/07/1966","31/07/2011","NP_Client","Master/PhD","Married",0,15,"20",1,"C","09/08/2011","Sales","Old rent",1,"","C"
7842,0,"Existing Client","19/10/1983","17/07/2007","P_Client","University","Single",0,10,"36",3,"C","29/02/2012","Sales","Owned",1,"","B"
688,0,"Existing Client","21/01/1970","27/04/2011","NP_Client","University","Married",3,12,"36",1,"C","22/06/2011","Sales","Owned",1,"","B"
4403,0,"Non Existing Client","25/06/1956","24/10/2011","NP_Client","University","Married",0,11,"36",1,"C","25/10/2011","Sales","Owned",1,"","B"
4413,0,"Non Existing Client","01/08/1973","24/10/2011","NP_Client","University","Married",3,10,"36",3,"C","26/10/2011","Sales","Owned",1,"","B"
4119,0,"Non Existing Client","03/09/1949","11/10/2011","NP_Client","University","Married",0,22,"18",2,"C","12/10/2011","Sales","Owned",1,"","B"
5219,0,"Existing Client","25/11/1961","01/11/2009","NP_Client","University","Married",2,1,"36",1,"C","06/12/2011","Sales","Owned",1,"","B"
1605,0,"Non Existing Client","28/05/1978","18/07/2011","NP_Client","University","Married",0,10,"36",1,"C","20/07/2011","Sales","Owned",1,"","B"
3038,0,"Non Existing Client","18/10/1975","27/08/2011","NP_Client","University","Married",0,5,"20",1,"C","28/08/2011","Sales","New rent",2,"","B"
6545,0,"Non Existing Client","01/09/1987","11/01/2012","NP_Client","University","Single",0,15,"30",1,"C","12/01/2012","Sales","Owned",1,"","B"
660,0,"Existing Client","11/06/1967","09/12/2010","NP_Client","University","Widowed",0,1,"20",1,"C","15/06/2011","Sales","Owned",1,"24/03/2013","B"
1119,0,"Non Existing Client","15/04/1981","22/06/2011","NP_Client","University","Married",2,20,"18",20,"C","29/06/2011","Sales","Owned",1,"","B"
6724,1,"Non Existing Client","07/10/1967","18/01/2012","NP_Client","University","Married",0,15,"36",1,"C","19/01/2012","Sales","Owned",1,"","B"
5681,0,"Non Existing Client","03/11/1975","11/12/2011","NP_Client","University","Married",2,10,"36",1,"C","12/12/2011","Sales","Owned",1,"","D"
6082,0,"Existing Client","20/05/1987","14/09/2010","NP_Client","University","Single",0,25,"36",8,"C","02/01/2012","Sales","Owned",1,"","B"
8349,0,"Non Existing Client","17/02/1972","05/03/2012","NP_Client","University","Married",0,10,"36",10,"C","11/03/2012","Sales","Owned",1,"","B"
1380,1,"Existing Client","23/07/1977","04/07/2011","NP_Client","University","Married",0,1,"84",4,"C","20/07/2011","Branch","Parents",1,"31/07/2012","L"
1874,0,"Existing Client","24/04/1972","09/10/2006","NP_Client","University","Married",0,10,"36",1,"C","15/08/2011","Sales","Owned",1,"","B"
4386,0,"Non Existing Client","04/03/1979","20/10/2011","NP_Client","University","Married",0,30,"100",15,"C","25/10/2011","Branch","Owned",1,"","D"
1916,0,"Non Existing Client","23/12/1985","08/08/2011","NP_Client","Master/PhD","Married",1,6,"18",2,"C","09/08/2011","Sales","Owned",1,"","B"
5572,0,"Non Existing Client","26/06/1981","06/12/2011","NP_Client","University","Married",1,2,"18",2,"C","08/12/2011","Sales","Owned",1,"","B"
8398,0,"Non Existing Client","19/07/1988","05/03/2012","NP_Client","University","Single",0,1,"36",1,"C","12/03/2012","Sales","Owned",1,"","M"
7700,0,"Non Existing Client","14/09/1970","26/02/2012","NP_Client","University","Married",2,15,"25",1,"C","27/02/2012","Sales","Owned",1,"","B"
6904,0,"Existing Client","11/02/1974","12/03/1997","NP_Client","University","Married",3,3,"400",3,"G","05/01/2012","Branch","Owned",1,"","K"
8015,0,"Existing Client","01/01/1987","12/06/2011","NP_Client","University","Married",0,15,"36",1,"C","12/03/2012","Sales","Owned",1,"","D"
6604,0,"Non Existing Client","25/04/1971","12/01/2012","NP_Client","University","Married",0,30,"18",2,"C","15/01/2012","Sales","Owned",1,"","B"
453,0,"Non Existing Client","25/05/1975","24/05/2011","NP_Client","University","Married",0,10,"18",1,"C","26/05/2011","Sales","Owned",1,"","B"
787,0,"Non Existing Client","01/07/1974","05/06/2011","NP_Client","University","Married",0,1,"36",1,"C","06/06/2011","Sales","Owned",1,"","B"
5899,0,"Non Existing Client","07/12/1967","14/11/2011","NP_Client","University","Married",2,10,"36",3,"C","27/12/2011","Sales","Owned",1,"","B"
7099,0,"Existing Client","05/01/1957","07/06/2011","NP_Client","University","Single",0,50,"18",19,"C","26/02/2012","Sales","Old rent",1,"","K"
205,0,"Non Existing Client","15/01/1988","03/05/2011","NP_Client","University","Single",0,10,"18",1,"C","04/05/2011","Sales","Owned",1,"","D"
7538,0,"Non Existing Client","18/07/1981","16/02/2012","NP_Client","University","Married",1,10,"36",3,"C","22/02/2012","Sales","Owned",1,"","B"
7376,0,"Non Existing Client","04/08/1962","08/02/2012","NP_Client","University","Married",0,22,"18",21,"C","11/02/2012","Sales","Owned",1,"","B"
3546,0,"Existing Client","31/08/1971","04/05/2003","NP_Client","University","Married",0,15,"50",1,"C","18/09/2011","Sales","Owned",1,"","B"
5192,0,"Existing Client","06/02/1967","31/03/2009","NP_Client","University","Married",3,16,"50",5,"C","22/12/2011","Sales","Owned",2,"11/03/2013","B"
498,0,"Existing Client","03/01/1956","28/03/2004","NP_Client","University","Single",0,27,"30",1,"C","05/05/2011","Branch","Parents",1,"","B"
6952,0,"Existing Client","14/03/1977","18/10/2006","NP_Client","University","Married",0,2,"36",2,"C","13/02/2012","Sales","Owned",1,"","B"
6214,0,"Non Existing Client","15/10/1987","22/12/2011","NP_Client","University","Single",0,24,"24",0,"C","28/12/2011","Branch","Old rent",1,"","B"
3170,0,"Non Existing Client","16/09/1954","04/09/2011","NP_Client","Master/PhD","Married",5,20,"60",11,"C","14/09/2011","Branch","Old rent",1,"","K"
7400,1,"Non Existing Client","14/01/1990","09/02/2012","NP_Client","University","Single",0,1,"25",1,"C","12/02/2012","Sales","Owned",1,"31/03/2013","B"
723,0,"Non Existing Client","11/09/1960","22/05/2011","NP_Client","Master/PhD","Single",0,50,"18",1,"C","31/05/2011","Sales","Owned",1,"","C"
6930,0,"Existing Client","11/06/1982","15/05/2005","P_Client","University","Single",2,10,"36",1,"C","19/02/2012","Sales","Owned",1,"","B"
6569,1,"Non Existing Client","22/03/1972","09/01/2012","NP_Client","University","Married",4,6,"80",2,"C","12/01/2012","Sales","Owned",1,"29/11/2012","B"
596,0,"Existing Client","01/09/1969","06/04/2009","NP_Client","Master/PhD","Married",3,16,"18",1,"C","05/06/2011","Sales","Owned",1,"","B"
9130,0,"Non Existing Client","05/11/1964","29/03/2012","NP_Client","University","Married",0,15,"36",1,"C","01/04/2012","Sales","Owned",1,"27/12/2012","B"
6386,0,"Non Existing Client","02/06/1973","02/01/2012","NP_Client","University","Married",0,10,"36",11,"C","05/01/2012","Sales","Owned",1,"","B"
2619,0,"Non Existing Client","27/07/1950","14/07/2011","NP_Client","University","Married",0,15,"30",1,"C","20/08/2011","Sales","Owned",1,"","B"
3338,1,"Non Existing Client","13/08/1973","19/09/2011","NP_Client","University","Married",0,10,"50",10,"C","22/09/2011","Sales","Owned",1,"31/05/2012","B"
8639,0,"Non Existing Client","26/08/1968","29/02/2012","NP_Client","Master/PhD","Married",0,30,"25",1,"C","22/03/2012","Sales","Owned",1,"","B"
491,1,"Existing Client","03/10/1957","08/04/1992","NP_Client","University","Married",2,15,"100",16,"C","24/05/2011","Branch","Owned",1,"29/12/2011","C"
4723,0,"Non Existing Client","17/06/1949","04/09/2011","NP_Client","University","Widowed",3,4,"20",1,"C","30/10/2011","Sales","Owned",1,"","B"
7206,1,"Existing Client","23/10/1985","31/01/2012","NP_Client","University","Married",2,5,"51",3,"C","26/02/2012","Sales","Owned",1,"31/10/2012","L"
260,0,"Non Existing Client","04/07/1986","08/05/2011","NP_Client","University","Single",0,7,"36",1,"C","09/05/2011","Sales","Owned",1,"","D"
2995,0,"Existing Client","25/05/1973","16/08/2011","NP_Client","University","Married",2,11,"36",6,"C","26/09/2011","Sales","Owned",1,"","B"
743,0,"Existing Client","03/02/1977","31/05/2011","NP_Client","University","Single",0,34,"54",4,"C","05/06/2011","Branch","Old rent",1,"28/02/2013","L"
4137,0,"Non Existing Client","07/09/1967","12/10/2011","NP_Client","University","Married",4,1,"50",1,"C","17/10/2011","Sales","Owned",1,"","B"
2213,0,"Existing Client","09/09/1984","27/07/2011","NP_Client","University","Married",0,15,"30,96",1,"C","08/08/2011","Sales","Owned",1,"","K"
6570,0,"Non Existing Client","05/05/1960","02/01/2012","NP_Client","University","Married",0,15,"30",1,"C","18/01/2012","Sales","Owned",1,"","B"
6229,0,"Non Existing Client","05/10/1956","27/12/2011","NP_Client","University","Married",3,40,"180",1,"C","02/01/2012","Sales","Old rent",1,"","D"
7469,0,"Non Existing Client","22/05/1969","14/02/2012","NP_Client","University","Married",2,1,"36",1,"C","15/02/2012","Sales","Owned",1,"","B"
4239,0,"Non Existing Client","27/03/1966","09/10/2011","NP_Client","University","Married",0,1,"36",1,"C","18/10/2011","Sales","Owned",2,"","D"
8748,0,"Existing Client","27/09/1972","28/12/1997","P_Client","University","Married",3,40,"100",10,"P","04/03/2012","Branch","Owned",1,"","E"
8227,0,"Non Existing Client","04/08/1968","01/03/2012","NP_Client","University","Married",3,1,"36",2,"C","08/03/2012","Sales","Owned",1,"","B"
7417,1,"Non Existing Client","05/07/1984","12/02/2012","NP_Client","University","Married",0,15,"36",1,"C","13/02/2012","Sales","Owned",1,"29/11/2012","B"
7151,0,"Existing Client","23/03/1961","15/01/2012","NP_Client","University","Married",2,17,"220",20,"G","06/02/2012","Branch","Old rent",1,"","C"
4769,0,"Non Existing Client","06/10/1981","24/10/2011","NP_Client","University","Single",0,15,"30",1,"G","31/10/2011","Sales","Owned",1,"","C"
3034,0,"Non Existing Client","16/06/1985","27/08/2011","NP_Client","University","Married",1,23,"82",3,"C","28/08/2011","Branch","Owned",1,"","D"
6919,0,"Existing Client","14/02/1969","01/07/2005","NP_Client","University","Married",0,10,"100",0,"G","15/01/2012","Branch","Owned",1,"","B"
104,0,"Existing Client","09/12/1978","25/11/2009","NP_Client","University","Married",2,1,"18",1,"C","04/05/2011","Branch","Owned",2,"25/03/2012","B"
1020,0,"Non Existing Client","08/06/1987","20/06/2011","NP_Client","University","Single",0,20,"20",1,"C","21/06/2011","Sales","Owned",1,"","B"
1935,0,"Existing Client","26/05/1960","04/01/2009","NP_Client","Master/PhD","Married",0,10,"36",19,"G","04/08/2011","Sales","Owned",1,"","C"
3291,0,"Non Existing Client","22/11/1969","15/09/2011","NP_Client","University","Married",1,6,"20",21,"C","18/09/2011","Sales","Owned",1,"","B"
6123,0,"Existing Client","19/01/1963","15/08/2011","P_Client","University","Married",1,5,"51,84",19,"G","26/01/2012","Branch","Owned",1,"","G"
3883,0,"Non Existing Client","11/11/1975","26/09/2011","NP_Client","University","Married",0,15,"30",1,"C","27/09/2011","Sales","Owned",1,"","B"
6226,0,"Non Existing Client","01/07/1979","20/12/2011","NP_Client","University","Married",0,15,"30",1,"G","29/12/2011","Sales","Owned",1,"","C"
8736,0,"Non Existing Client","15/10/1971","26/03/2012","NP_Client","University","Married",0,1,"36",1,"C","27/03/2012","Sales","Owned",1,"","B"
2084,0,"Existing Client","04/12/1974","02/01/2011","NP_Client","Master/PhD","Married",0,1,"20",1,"C","31/07/2011","Sales","Owned",1,"","C"
3381,0,"Non Existing Client","29/08/1971","14/09/2011","NP_Client","University","Married",0,4,"36",10,"C","22/09/2011","Sales","Owned",1,"","B"
6079,0,"Existing Client","04/04/1967","18/08/2010","P_Client","University","Married",0,15,"96",1,"C","18/01/2012","Sales","Owned",1,"","L"
2039,0,"Existing Client","26/07/1981","24/08/2010","NP_Client","Master/PhD","Married",1,4,"20",1,"C","14/08/2011","Sales","Owned",1,"08/05/2013","C"
15,0,"Existing Client","02/10/1959","11/12/2005","NP_Client","University","Married",4,15,"30",1,"C","15/05/2011","Sales","Owned",1,"","B"
3772,0,"Existing Client","22/06/1974","23/08/2010","NP_Client","University","Married",0,5,"36",10,"G","10/10/2011","Sales","Owned",1,"","B"
1432,0,"Non Existing Client","22/02/1979","03/07/2011","NP_Client","University","Married",0,4,"46",5,"C","06/07/2011","Sales","New rent",1,"29/08/2012","K"
4814,0,"Non Existing Client","26/06/1954","30/10/2011","NP_Client","University","Married",0,20,"187",1,"C","01/11/2011","Sales","Owned",1,"","B"
5800,0,"Non Existing Client","07/03/1982","18/12/2011","NP_Client","University","Married",0,10,"18",10,"C","20/12/2011","Sales","Owned",1,"","B"
2883,0,"Existing Client","01/01/1977","02/05/2010","NP_Client","University","Married",2,7,"50",10,"C","21/09/2011","Sales","Owned",1,"","B"
1230,0,"Existing Client","06/11/1980","05/01/2009","P_Client","University","Single",0,7,"36",1,"C","14/07/2011","Sales","Owned",1,"","B"
2860,0,"Existing Client","20/07/1986","25/11/2009","NP_Client","University","Married",1,2,"18",10,"C","20/09/2011","Sales","Owned",1,"","D"
6204,0,"Existing Client","01/01/1972","26/12/2011","NP_Client","University","Married",0,15,"30",1,"C","16/01/2012","Sales","Owned",1,"","D"
5644,0,"Non Existing Client","27/05/1978","08/12/2011","NP_Client","University","Married",2,7,"25",1,"C","12/12/2011","Sales","Owned",1,"","B"
3109,0,"Non Existing Client","26/09/1981","04/09/2011","NP_Client","University","Single",0,15,"100",1,"G","08/09/2011","Sales","Owned",1,"","C"
3403,0,"Non Existing Client","06/02/1962","20/09/2011","NP_Client","University","Married",0,21,"18",20,"C","21/09/2011","Branch","Owned",1,"03/05/2012","B"
3937,0,"Non Existing Client","14/09/1974","25/09/2011","NP_Client","University","Married",0,1,"36",1,"C","28/09/2011","Sales","Owned",1,"","B"
3629,1,"Existing Client","13/06/1985","10/09/2007","P_Client","University","Single",0,20,"50",10,"C","11/10/2011","Sales","Owned",1,"30/09/2012","D"
3910,0,"Non Existing Client","01/07/1981","25/09/2011","NP_Client","Master/PhD","Single",0,22,"18",2,"G","28/09/2011","Sales","Owned",1,"","C"
1560,0,"Non Existing Client","17/06/1973","13/07/2011","NP_Client","University","Single",0,10,"20",1,"C","18/07/2011","Sales","Owned",1,"","B"
1730,0,"Non Existing Client","01/11/1972","23/07/2011","NP_Client","Master/PhD","Married",1,5,"140",0,"C","26/07/2011","Branch","Old rent",1,"","D"
6350,0,"Non Existing Client","08/03/1964","26/12/2011","NP_Client","University","Married",0,15,"30",1,"C","04/01/2012","Sales","Owned",1,"","B"
110,0,"Existing Client","28/09/1978","09/03/2010","NP_Client","University","Single",0,32,"18",1,"C","17/05/2011","Sales","Owned",1,"","B"
6986,0,"Existing Client","10/11/1958","21/04/2008","NP_Client","Master/PhD","Married",3,20,"600",20,"P","02/02/2012","Branch","Owned",1,"","E"
2890,0,"Existing Client","16/10/1986","03/06/2010","P_Client","University","Married",1,30,"46,728",1,"G","25/09/2011","Branch","Owned",1,"","G"
3896,0,"Non Existing Client","19/01/1964","20/09/2011","NP_Client","Master/PhD","Married",0,10,"18",2,"G","28/09/2011","Sales","Owned",1,"","C"
4429,0,"Non Existing Client","26/01/1978","25/10/2011","NP_Client","University","Married",2,15,"30",1,"C","26/10/2011","Sales","Owned",1,"","D"
6558,0,"Non Existing Client","20/05/1961","09/01/2012","NP_Client","University","Married",0,20,"25",1,"C","11/01/2012","Sales","Owned",1,"25/02/2013","B"
4665,0,"Existing Client","20/01/1982","18/09/2011","NP_Client","University","Single",0,10,"36",3,"G","03/11/2011","Sales","Owned",1,"","C"
704,1,"Existing Client","01/03/1983","18/05/2011","NP_Client","University","Married",0,1,"36",2,"C","26/06/2011","Sales","Old rent",2,"30/08/2012","L"
6138,0,"Existing Client","15/03/1972","20/10/2011","NP_Client","Master/PhD","Married",2,8,"50",10,"C","09/01/2012","Sales","Owned",1,"","B"
5280,0,"Existing Client","09/01/1983","14/07/2011","P_Client","University","Married",1,20,"25,068",4,"C","01/12/2011","Branch","Owned",1,"","H"
5439,0,"Non Existing Client","07/09/1970","29/11/2011","NP_Client","University","Married",0,15,"30",1,"C","30/11/2011","Sales","Owned",1,"","B"
175,0,"Existing Client","20/08/1966","27/04/2011","NP_Client","University","Married",2,10,"31,62",2,"C","04/05/2011","Sales","Owned",1,"","L"
4584,0,"Existing Client","12/07/1975","21/07/2009","NP_Client","University","Married",2,7,"20",1,"C","15/11/2011","Sales","Owned",1,"26/07/2012","B"
2373,0,"Non Existing Client","10/09/1979","02/08/2011","NP_Client","University","Married",4,20,"36",1,"G","09/08/2011","Sales","Old rent",2,"","C"
4695,0,"Non Existing Client","27/10/1981","10/10/2011","NP_Client","Master/PhD","Married",1,1,"20",1,"C","30/10/2011","Sales","Owned",1,"","C"
6834,0,"Non Existing Client","08/03/1980","24/01/2012","NP_Client","University","Married",0,15,"36",1,"C","26/01/2012","Sales","Owned",1,"","B"
5573,0,"Non Existing Client","07/11/1974","04/12/2011","NP_Client","University","Married",1,10,"36",1,"C","06/12/2011","Sales","Owned",1,"19/03/2013","D"
310,0,"Non Existing Client","03/08/1988","12/05/2011","NP_Client","University","Single",0,19,"18",2,"C","15/05/2011","Sales","Owned",1,"","B"
9234,1,"Non Existing Client","22/07/1979","04/04/2012","NP_Client","University","Married",2,1,"36",1,"C","05/04/2012","Sales","Owned",1,"29/11/2012","B"
2852,0,"Existing Client","03/01/1968","09/09/2009","NP_Client","University","Married",0,15,"30",1,"C","21/09/2011","Sales","Owned",1,"","B"
3846,0,"Non Existing Client","11/07/1948","21/08/2011","NP_Client","Master/PhD","Married",0,1,"20",1,"C","23/08/2011","Sales","Owned",2,"","C"
1722,0,"Non Existing Client","10/10/1968","07/07/2011","NP_Client","University","Married",2,7,"20",1,"C","25/07/2011","Sales","Owned",1,"","B"
7049,0,"Existing Client","19/08/1971","16/02/2010","NP_Client","University","Single",1,30,"18",2,"C","21/02/2012","Branch","Parents",1,"09/01/2013","B"
1901,0,"Existing Client","10/04/1966","10/12/2007","NP_Client","University","Married",0,2,"18",2,"C","21/08/2011","Branch","Owned",2,"08/04/2012","B"
5267,0,"Existing Client","15/03/1980","03/03/2011","P_Client","University","Married",1,5,"45,912",8,"C","15/12/2011","Branch","Owned",1,"","H"
1879,0,"Existing Client","09/06/1983","18/10/2006","NP_Client","University","Married",0,28,"30",2,"C","09/08/2011","Branch","Parents",1,"","K"
3946,0,"Non Existing Client","13/02/1958","19/09/2011","NP_Client","Master/PhD","Married",2,25,"50",21,"G","04/10/2011","Sales","Old rent",1,"","C"
6285,1,"Non Existing Client","19/06/1971","19/12/2011","NP_Client","University","Married",3,10,"36",3,"C","03/01/2012","Sales","Owned",1,"29/11/2012","B"
9206,0,"Non Existing Client","01/10/1984","26/03/2012","NP_Client","University","Married",2,15,"18",2,"C","09/04/2012","Sales","Owned",1,"","B"
4734,0,"Non Existing Client","10/09/1971","19/10/2011","NP_Client","University","Married",0,15,"30",1,"C","25/10/2011","Sales","Owned",1,"","M"
3208,0,"Non Existing Client","11/07/1957","12/09/2011","NP_Client","Master/PhD","Married",0,25,"20",1,"C","14/09/2011","Sales","Owned",1,"","B"
6424,0,"Non Existing Client","27/05/1981","03/01/2012","NP_Client","University","Divorced",0,10,"36",3,"C","05/01/2012","Sales","Owned",2,"12/12/2012","B"
6239,0,"Non Existing Client","01/08/1979","27/12/2011","NP_Client","Master/PhD","Married",2,5,"25",1,"C","02/01/2012","Sales","Owned",1,"","D"
5758,0,"Non Existing Client","10/12/1975","13/12/2011","NP_Client","University","Married",2,8,"18",2,"C","14/12/2011","Sales","Owned",1,"","B"
3231,0,"Non Existing Client","08/10/1964","13/09/2011","NP_Client","University","Married",3,24,"18",1,"C","14/09/2011","Sales","Owned",1,"23/05/2013","D"
9169,0,"Non Existing Client","09/09/1983","01/04/2012","NP_Client","University","Married",2,7,"118,787",0,"G","05/04/2012","Branch","Owned",3,"03/02/2013","B"
665,0,"Existing Client","20/08/1982","22/12/2010","NP_Client","University","Married",2,10,"36",1,"C","07/06/2011","Sales","Owned",1,"","B"
